CGNDB ID,Geographical Name,ISO Language Code,Language,Syllabic Form,Generic Term,Generic Category,Concise Code,Toponymic Feature ID,Latitude,Longitude,Location,Province - Territory,Relevance at Scale,Decision Date,Source
IARMX,Whitney Lakes Provincial Park,und,Undetermined,,Provincial Park,Administrative Area,PARK,a157ddfad05411d892e2080020a0f4c9,53.8572222,-110.5297222,56-4-W4,Alberta,1000000,1986-12-31,AB-Ministry of Culture and Status of Women
IASWC,Whyetnow Lake,und,Undetermined,,Lake,Water Feature,LAKE,0cae2227849c20c317dbb2f6bde29647,57.4916667,-113.3052778,11-98-2-W4,Alberta,50000,1991-10-03,AB-Ministry of Culture and Status of Women
IAPES,Wiau Lake,und,Undetermined,,Lake,Water Feature,LAKE,0c8978b9849c20c31c3bfa059bcfb909,55.3850000,-111.3111111,"73,74-9-W4",Alberta,1000000,1945-07-28,AB-Ministry of Culture and Status of Women
IAPET,Wiau River,und,Undetermined,,River,Water Feature,RIV,0c89786f849c20c354fe071cd9799950,55.3116667,-111.3994444,73-9-W4,Alberta,250000,1945-07-28,AB-Ministry of Culture and Status of Women
IAPEU,Wickham Creek,und,Undetermined,,Creek,Water Feature,RIV,0c89793a849c20c382dbef09f6d94a86,53.1877777,-116.6672222,35-48-19-W5,Alberta,250000,1980-07-09,AB-Ministry of Culture and Status of Women
IAPEV,Widewater,und,Undetermined,,Hamlet,Populated Place,UNP,0c8978fa849c20c302f6c22c09f3eae9,55.3666666,-115.0333333,32-73-7-W5,Alberta,1000000,1945-12-08,AB-Ministry of Culture and Status of Women
IAPFA,Wigmore Creek,und,Undetermined,,Creek,Water Feature,RIV,89dafb17c6cb11d892e2080020a0f4c9,51.5400000,-115.7308333,30-13-W5,Alberta,50000,1989-03-22,AB-Ministry of Culture and Status of Women
IAPFB,Wigmore Lake,und,Undetermined,,Lake,Water Feature,LAKE,0c8979dc849c20c3f5169c104cd83045,51.4886111,-115.7041667,29-13-W5,Alberta,50000,1965-11-17,AB-Ministry of Culture and Status of Women
IAPFD,Wigwam Creek,und,Undetermined,,Creek,Water Feature,RIV,0c897a1c849c20c3dcc42ca3bbfb74d1,51.6355556,-115.2658333,31-9-W5,Alberta,250000,1928-12-31,AB-Ministry of Culture and Status of Women
IAPFE,Wigwam Creek,und,Undetermined,,Creek,Water Feature,RIV,0c897ab9849c20c3b1d2c159dc72399d,53.2508333,-117.4472222,28-49-24-W5,Alberta,250000,1944-05-30,AB-Ministry of Culture and Status of Women
IASEL,Wilcox Lake,und,Undetermined,,Lake,Water Feature,LAKE,9cdadf0ec6cb11d892e2080020a0f4c9,52.2483334,-117.1986111,,Alberta,50000,1989-01-31,AB-Ministry of Culture and Status of Women
IAMVP,Wilcox Pass,und,Undetermined,,Pass,Terrain Feature,VALL,0c8852cc849c20c31ed37319712a7d54,52.2636111,-117.2455556,38-23-W5,Alberta,50000,1935-03-05,AB-Ministry of Culture and Status of Women
